title,price,rating,reviews,availability
PlayStation 4 Slim 1TB Console,,4.5 out of 5 stars,"(15,954)",
PlayStation 4 Console - 1TB Slim Edition (Renewed),,4.3 out of 5 stars,(428),Not Available
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",,4.5 out of 5 stars,"(1,333)",Not Available
"Sony Playstation 4 500GB white, 9466314 (Renewed)",,4.6 out of 5 stars,(161),Not Available
PlayStation 4,,4.5 out of 5 stars,"(13,818)",Only 5 left in stock - order soon.
Sony PlayStation 4 Slim 1TB Premium Bundle (Renewed),,4.5 out of 5 stars,(38),Only 4 left in stock - order soon.
"2 Pack Wireless Controller for PS4, Game Remote Controller Compatible with PS4/Slim/Pro/PC, Programmable, RGB Light, 1000mAh Battery, Dual Vibration, 6-Axis Gyro, Share, Touch Pad,Speaker&Audio Jack",,3.6 out of 5 stars,(39),In Stock
PlayStation 4 Pro 1TB Console,,4.6 out of 5 stars,"(12,781)",Only 5 left in stock - order soon.
PlayStation 4 Slim 1TB Console (Renewed),,4.5 out of 5 stars,(5),Only 2 left in stock - order soon.
PlayStation 4 Console 500 GB,,4.5 out of 5 stars,(120),
PS4 Slim 500GB Console + Controller,,4.5 out of 5 stars,"(1,975)",
"Gaming Headset for PS4 Xbox One,3.5mm Jack Stereo Surround Sound Gaming Headphones with Noise Cancelling in-line Control & Adjustable Mic for PS5 PC Laptop Mac(Black)",,4.4 out of 5 stars,(9),Only 8 left in stock - order soon.
"PS5 - Sony PlayStation 5 Digital Edition Gaming Console + Wireless Controller - 16GB GDDR6 RAM, 825GB SSD, 120Hz 8K Output, White",,4.5 out of 5 stars,(368),Not Available
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.5 out of 5 stars,"(4,155)",
Sony Playstation 3 160GB System (Renewed),,4.5 out of 5 stars,(899),In Stock
500GB PlayStation 4 Console - Destiny The Taken King Bundle,,4.4 out of 5 stars,(957),Only 1 left in stock - order soon.
"Wireless Controller Compatible with PS4/Pro/Slim, Black ps4 controller with Dual Vibration, 1000mAh Battery, 6-Axis Motion Sensor, Built-in Speaker & 3.5mm Headphone Jack, Charging Cable (Black)",,4.2 out of 5 stars,(341),In Stock
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.5 out of 5 stars,(207),Only 13 left in stock - order soon.
PlayStation 4 500GB Limited Edition Console - Destiny: The Taken King Bundle [Discontinued] (Renewed),,4.6 out of 5 stars,(10),Only 9 left in stock - order soon.
"sktome Gaming Voice Changer Headset with Mic, Cool LED Light Over-Ear Headphones with Volume Control, Noise Reduction Voice Changer Gaming Headset for PS4/PS5/Xbox One/PC/Phone/Laptops(Blue)",,4.3 out of 5 stars,(169),In Stock
Ps4 Slim Stickers Full Body Vinyl Skin Decal Cover for PlayStation 4 Console Controllers (with 4pcs Led Lightbar Stickers) (Blue fire) (PS4 Console (Blue fire)),,4.5 out of 5 stars,(725),Only 8 left in stock - order soon.
"USOTSO MPOWER Stereo Gaming Headset for PS4, PC, Mobile, Noise Cancelling Over Ear Headphones with Retractable Flexible Mic & Soft Memory Earmuffs for Laptop Mac Games-Angel Edition",,4.5 out of 5 stars,(258),In Stock
